[ PSN ]

tEPS_Z
sigma_x[87] = -1.467284e+05		sigma_y[87] = 2.054259e+05		tau[87] = -5.231199e+77
sigma_x[88] = -4.127477e+04		sigma_y[88] = 7.439808e+05		tau[88] = -5.231199e+77
sigma_x[89] = -1.211891e+05		sigma_y[89] = 1.690779e+05		tau[89] = -5.231199e+77
sigma_x[90] = -2.109702e+04		sigma_y[90] = 7.288613e+05		tau[90] = -5.231199e+77
sigma_x[91] = -1.182206e+05		sigma_y[91] = 1.278453e+05		tau[91] = -5.231199e+77
sigma_x[92] = -2.729124e+04		sigma_y[92] = 7.207791e+05		tau[92] = -5.231199e+77
sigma_x[93] = -1.314768e+05		sigma_y[93] = 1.200952e+05		tau[93] = -5.231199e+77
sigma_x[94] = -3.148248e+04		sigma_y[94] = 7.261152e+05		tau[94] = -5.231199e+77
sigma_x[95] = -1.216152e+05		sigma_y[95] = 1.187855e+05		tau[95] = -5.231199e+77
sigma_x[96] = -3.056410e+04		sigma_y[96] = 7.207024e+05		tau[96] = -5.231199e+77
sigma_x[97] = -1.159293e+05		sigma_y[97] = 1.028132e+05		tau[97] = -5.231199e+77
sigma_x[98] = -3.203900e+04		sigma_y[98] = 7.130206e+05		tau[98] = -5.231199e+77
sigma_x[99] = -1.146656e+05		sigma_y[99] = 1.025856e+05		tau[99] = -5.231199e+77
sigma_x[100] = -3.492597e+04		sigma_y[100] = 7.147750e+05		tau[100] = -5.231199e+77
sigma_x[101] = -1.157899e+05		sigma_y[101] = 1.071202e+05		tau[101] = -5.231199e+77
sigma_x[102] = -3.143344e+04		sigma_y[102] = 7.152808e+05		tau[102] = -5.231199e+77
sigma_x[103] = -1.146453e+05		sigma_y[103] = 1.041948e+05		tau[103] = -5.231199e+77
sigma_x[104] = -3.444685e+04		sigma_y[104] = 7.150895e+05		tau[104] = -5.231199e+77
sigma_x[105] = -1.139857e+05		sigma_y[105] = 1.029593e+05		tau[105] = -5.231199e+77
sigma_x[106] = -3.630814e+04		sigma_y[106] = 7.164998e+05		tau[106] = -5.231199e+77
sigma_x[107] = -1.160091e+05		sigma_y[107] = 1.023425e+05		tau[107] = -5.231199e+77
sigma_x[108] = -3.635125e+04		sigma_y[108] = 7.151689e+05		tau[108] = -5.231199e+77
sigma_x[109] = -1.144697e+05		sigma_y[109] = 1.032874e+05		tau[109] = -5.231199e+77
sigma_x[110] = -3.600072e+04		sigma_y[110] = 7.165035e+05		tau[110] = -5.231199e+77
sigma_x[111] = -1.176020e+05		sigma_y[111] = 1.013693e+05		tau[111] = -5.231199e+77
sigma_x[112] = -3.650511e+04		sigma_y[112] = 7.173192e+05		tau[112] = -5.231199e+77
sigma_x[113] = -1.160770e+05		sigma_y[113] = 1.123524e+05		tau[113] = -5.231199e+77
